1 (542, 840000000) 0 {name='GPS_spherical.x', type=FLOAT64, size=8, count=1, flags=0x0}
1 (542, 840000000) 1 {name='GPS_spherical.y', type=FLOAT64, size=8, count=1, flags=0x0}
1 (542, 840000000) 2 {name='GPS_spherical.z', type=FLOAT64, size=8, count=1, flags=0x0}
1 (542, 840000000) 3 {name='GPS_velocity.x', type=FLOAT64, size=8, count=1, flags=0x0}
1 (542, 840000000) 4 {name='GPS_velocity.y', type=FLOAT64, size=8, count=1, flags=0x0}
1 (542, 840000000) 5 {name='GPS_velocity.z', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 0 {name='relativeLinearAcceleration.x', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 1 {name='relativeLinearAcceleration.y', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 2 {name='relativeLinearAcceleration.z', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 3 {name='relativeAngularAcceleration.x', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 4 {name='relativeAngularAcceleration.y', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 5 {name='relativeAngularAcceleration.z', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 6 {name='relativeLinearVelocity.x', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 7 {name='relativeLinearVelocity.y', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 8 {name='relativeLinearVelocity.z', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 9 {name='relativeAngularVelocity.x', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 10 {name='relativeAngularVelocity.y', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 11 {name='relativeAngularVelocity.z', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 12 {name='worldLinearVelocity.x', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 13 {name='worldLinearVelocity.y', type=FLOAT64, size=8, count=1, flags=0x0}
2 (542, 840000000) 14 {name='worldLinearVelocity.z', type=FLOAT64, size=8, count=1, flags=0x0}
