timestamp,drone_pos,subject_pos,pedestrian0_pos,obj0_pos,obj0_type,obj1_pos,obj1_type,obj2_pos,obj2_type,obj3_pos,obj3_type,obj4_pos,obj4_type,obj5_pos,obj5_type,obj6_pos,obj6_type,obj7_pos,obj7_type,obj8_pos,obj8_type,obj9_pos,obj9_type
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
1,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
2,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
2,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
2,"(-1.0003334120952068, -0.0010642809466251848, 0.04984988255204889)","(0.0, 0.0, 1.05)","(3.0, 4.0, 1.05)","[8, 5, 8]",ttype,"[6, 1, 4]",ttype,"[0, 1, 10]",ttype,"[4, 4, 4]",ttype,"[4, 0, 5]",ttype,"[7, 5, 9]",ttype,"[7, 2, 7]",ttype,"[8, 10, 4]",ttype,"[0, 8, 4]",ttype,"[0, 6, 4]",ttype
